Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.3624E-3,17.055973675,0.412103309,0.031920102,0.079812207,0
1.36809E-3,17.329025385,0.413113253,0.031724273,0.084507042,0
1.38188E-3,17.60429867,0.415547032,0.031528444,0.084507042,0
1.40882E-3,17.883862633,0.420244222,0.031332615,0.089201878,0
1.42855E-3,18.026717523,0.423636053,0.031234701,0.089201878,0
1.44547E-3,18.314542704,0.42651433,0.031038872,0.093896714,0
1.46359E-3,18.6065051,0.429564163,0.030843043,0.093896714,0
1.464E-3,18.752905322,0.429632711,0.030745129,0.093896714,0
1.4776E-3,19.047199885,0.431899707,0.0305493,0.098591549,0
1.48527E-3,19.344176336,0.433169719,0.030353471,0.103286385,0
1.50379E-3,19.64405177,0.436216169,0.030157642,0.103286385,0
1.51419E-3,19.795470309,0.437910592,0.030059728,0.103286385,0
1.52571E-3,20.099630928,0.439778263,0.029863899,0.107981221,0
1.53788E-3,20.253418881,0.44173608,0.029765985,0.112676056,0
1.56173E-3,20.565407654,0.445534964,0.029570156,0.112676056,0
1.57041E-3,20.878938641,0.446903913,0.029374327,0.117370892,0
1.58448E-3,21.037386871,0.449110313,0.029276412,0.122065728,0
1.60032E-3,21.35675306,0.4515724,0.029080584,0.126760563,0
1.62925E-3,21.519677993,0.456012911,0.028982669,0.131455399,0
1.66392E-3,21.849505322,0.461240763,0.02878684,0.131455399,0
1.68059E-3,22.0175644,0.463719281,0.028688926,0.131455399,0
1.69351E-3,22.355121378,0.465624336,0.028493097,0.136150235,0
1.71512E-3,22.526633617,0.468780834,0.028395183,0.136150235,0
1.71733E-3,22.869947008,0.469101196,0.028199354,0.14084507,0
1.73617E-3,23.043564355,0.471819836,0.028101439,0.14084507,0
1.75912E-3,23.39382316,0.475092486,0.02790561,0.145539906,0
1.75913E-3,23.569736196,0.47509458,0.027807696,0.150234742,0
1.76874E-3,23.922549429,0.476453301,0.027611867,0.154929577,0
1.77831E-3,24.100380323,0.477799385,0.027513953,0.154929577,0
1.77906E-3,24.278286783,0.477905387,0.027416038,0.159624413,0
1.7859E-3,24.634853176,0.478861999,0.02722021,0.169014085,0
1.79099E-3,24.813951732,0.479571952,0.027122295,0.169014085,0
1.79348E-3,25.172518458,0.479919587,0.026926466,0.17370892,0
1.79365E-3,25.351883425,0.479942943,0.026828552,0.178403756,0
1.79726E-3,25.531609829,0.48044542,0.026730637,0.183098592,0
1.80038E-3,25.891583278,0.480877442,0.026534809,0.183098592,0
1.80192E-3,26.071775284,0.481091279,0.026436894,0.183098592,0
1.81024E-3,26.252799071,0.482241097,0.02633898,0.187793427,0
1.81641E-3,26.615925904,0.483090412,0.026143151,0.197183099,0
1.81708E-3,26.797634278,0.483183622,0.026045236,0.201877934,0
1.82074E-3,27.161740155,0.483685321,0.025849408,0.201877934,0
1.82901E-3,27.344641571,0.484818004,0.025751493,0.20657277,0
1.83913E-3,27.528554646,0.486195828,0.025653579,0.20657277,0
1.85686E-3,27.898796323,0.488592639,0.02545775,0.211267606,0
1.86061E-3,28.084857445,0.489097049,0.025359836,0.211267606,0
1.86455E-3,28.271312386,0.489625402,0.025261921,0.215962441,0
1.8875E-3,28.646888721,0.492682477,0.025066092,0.220657277,0
1.88937E-3,28.835826187,0.492931006,0.024968178,0.220657277,0
1.89465E-3,29.025291028,0.493627725,0.024870263,0.225352113,0
1.91585E-3,29.406880278,0.496409781,0.024674435,0.234741784,0
1.92329E-3,29.599209524,0.497378717,0.02457652,0.23943662,0
1.933E-3,29.79250906,0.498636762,0.024478606,0.244131455,0
1.94556E-3,30.180788433,0.500256083,0.024282777,0.244131455,0
1.94666E-3,30.375454747,0.500398232,0.024184862,0.244131455,0
1.95843E-3,30.571297957,0.5019051,0.024086948,0.244131455,0
1.95971E-3,30.767269152,0.502068422,0.023989034,0.248826291,0
1.97466E-3,31.16219504,0.50396757,0.023793205,0.253521127,0
1.97857E-3,31.360051889,0.50446234,0.02369529,0.258215962,0
2.00572E-3,31.560624062,0.507869398,0.023597376,0.258215962,0
2.01157E-3,31.761781202,0.508597263,0.023499461,0.262910798,0
2.02858E-3,32.167401836,0.510701437,0.023303633,0.267605634,0
2.03825E-3,32.371226847,0.511889729,0.023205718,0.267605634,0
2.04855E-3,32.576081952,0.513149211,0.023107804,0.272300469,0
2.0533E-3,32.781412095,0.513727845,0.023009889,0.276995305,0
2.05782E-3,33.19265457,0.514277383,0.022814061,0.281690141,0
2.06347E-3,33.399001872,0.514962214,0.022716146,0.286384977,0
2.07326E-3,33.606327964,0.516144117,0.022618232,0.286384977,0
2.08251E-3,33.814578946,0.517255656,0.022520317,0.291079812,0
2.09207E-3,34.023786212,0.518399566,0.022422403,0.291079812,0
2.11673E-3,34.444872669,0.521324336,0.022226574,0.300469484,0
2.12552E-3,34.657424459,0.522358011,0.02212866,0.300469484,0
2.12749E-3,34.870173512,0.522589453,0.022030745,0.300469484,0
2.13871E-3,35.08404486,0.523901944,0.021932831,0.300469484,0
2.14502E-3,35.29854642,0.524635799,0.021834916,0.300469484,0
2.161E-3,35.514646695,0.526487327,0.021737002,0.300469484,0
2.16527E-3,35.947469245,0.526978862,0.021541173,0.305164319,0
2.16698E-3,36.164167041,0.527175639,0.021443259,0.309859155,0
2.16985E-3,36.381152417,0.527506204,0.021345344,0.314553991,0
2.17413E-3,36.598565214,0.527996657,0.02124743,0.319248826,0
2.18353E-3,36.816918016,0.529071712,0.021149515,0.319248826,0
2.18877E-3,37.03579486,0.529668921,0.021051601,0.323943662,0
2.20115E-3,37.255910109,0.531074229,0.020953686,0.328638498,0
2.20888E-3,37.697082954,0.531947441,0.020757858,0.338028169,0
2.24043E-3,37.921126195,0.535476566,0.020659943,0.342723005,0
2.24501E-3,38.145627389,0.535984447,0.020562029,0.34741784,0
2.25948E-3,38.3715755,0.537581841,0.020464114,0.352112676,0
2.25966E-3,38.597541045,0.537601021,0.0203662,0.352112676,0
2.26132E-3,38.823673456,0.537784519,0.020268286,0.356807512,0
2.26379E-3,39.050052616,0.538055594,0.020170371,0.356807512,0
2.26432E-3,39.276484759,0.538113759,0.020072457,0.361502347,0
2.272E-3,39.503684456,0.538954744,0.019974542,0.361502347,0
2.273E-3,39.958230377,0.539064621,0.019778713,0.366197183,0
2.27713E-3,40.185942969,0.539515004,0.019680799,0.370892019,0
2.28624E-3,40.414566957,0.54050721,0.019582885,0.370892019,0
2.28776E-3,40.643342626,0.540671926,0.01948497,0.375586854,0
2.31284E-3,40.874626182,0.543378305,0.019387056,0.375586854,0
2.3284E-3,41.107465722,0.545041465,0.019289141,0.38028169,0
2.33452E-3,41.340918048,0.545693141,0.019191227,0.384976526,0
2.3366E-3,41.574578394,0.545913938,0.019093312,0.384976526,0
2.33882E-3,41.808460142,0.546148703,0.018995398,0.389671362,0
2.34014E-3,42.042474388,0.546289083,0.018897484,0.394366197,0
2.35382E-3,42.277856181,0.547732917,0.018799569,0.394366197,0
2.35544E-3,42.513399948,0.547903319,0.018701655,0.394366197,0
2.36752E-3,42.985949102,0.549169964,0.018505826,0.399061033,0
2.3968E-3,43.225628605,0.552211147,0.018407911,0.399061033,0
2.40394E-3,43.466023072,0.552947553,0.018309997,0.399061033,0
2.41016E-3,43.707038971,0.553585656,0.018212083,0.403755869,0
2.41036E-3,43.948074531,0.553605814,0.018114168,0.403755869,0
2.41667E-3,44.18974183,0.554252579,0.018016254,0.408450704,0
2.41733E-3,44.43147519,0.554320102,0.017918339,0.41314554,0
2.42854E-3,44.674328764,0.555462019,0.017820425,0.41314554,0
2.42961E-3,44.917289518,0.555570968,0.017722511,0.41314554,0
2.43715E-3,45.161004539,0.55633618,0.017624596,0.41314554,0
2.44387E-3,45.405391376,0.557015533,0.017526682,0.417840376,0
2.4478E-3,45.650171577,0.557412342,0.017428767,0.422535211,0
2.45415E-3,45.895586323,0.558050952,0.017330853,0.422535211,0
2.4561E-3,46.141195856,0.558246616,0.017232938,0.427230047,0
2.45996E-3,46.387191467,0.558633923,0.017135024,0.431924883,0
2.4637E-3,46.633561735,0.559009123,0.01703711,0.431924883,0
2.4681E-3,46.880371248,0.559448195,0.016939195,0.436619718,0
2.47518E-3,47.12788888,0.560154194,0.016841281,0.436619718,0
2.48577E-3,47.376466145,0.561206439,0.016743366,0.436619718,0
2.48983E-3,47.625449306,0.561608174,0.016645452,0.436619718,0
2.49015E-3,47.874463948,0.561639301,0.016547537,0.441314554,0
2.49257E-3,48.123720685,0.56187853,0.016449623,0.44600939,0
2.49506E-3,48.37322706,0.562124939,0.016351709,0.450704225,0
2.50426E-3,48.623653084,0.563030305,0.016253794,0.450704225,0
2.50817E-3,48.874469715,0.563413714,0.01615588,0.450704225,0
2.51173E-3,49.125642635,0.563762852,0.016057965,0.455399061,0
2.51314E-3,49.376956541,0.563900853,0.015960051,0.455399061,0
2.52657E-3,49.629613193,0.565210816,0.015862136,0.460093897,0
2.52877E-3,49.882489973,0.565424819,0.015764222,0.464788732,0
2.53142E-3,50.135632198,0.565682598,0.015666308,0.469483568,0
2.53736E-3,50.389368165,0.566258088,0.015568393,0.474178404,0
2.53827E-3,50.643195573,0.566346583,0.015470479,0.478873239,0
2.55062E-3,50.898257757,0.567538042,0.015372564,0.478873239,0
2.55143E-3,51.153400437,0.567615488,0.01527465,0.478873239,0
2.56328E-3,51.409728411,0.568752654,0.015176736,0.483568075,0
2.56596E-3,51.666324054,0.569008626,0.015078821,0.488262911,0
2.57234E-3,51.923557695,0.569617523,0.014980907,0.492957746,0
2.57469E-3,52.181026259,0.569841298,0.014882992,0.497652582,0
2.585E-3,52.43952659,0.570821349,0.014785078,0.497652582,0
2.58652E-3,52.698178096,0.570964573,0.014687163,0.502347418,0
2.59292E-3,52.957470481,0.571570679,0.014589249,0.502347418,0
2.59541E-3,53.217011568,0.571805427,0.014491335,0.502347418,0
2.59687E-3,53.476698734,0.57194319,0.01439342,0.507042254,0
2.5987E-3,53.736569021,0.57211576,0.014295506,0.511737089,0
2.59972E-3,53.996540619,0.572211175,0.014197591,0.511737089,0
2.60106E-3,54.256646288,0.572337376,0.014099677,0.511737089,0
2.62543E-3,54.519189023,0.574618497,0.014001762,0.516431925,0
2.62685E-3,54.781874172,0.574751046,0.013903848,0.516431925,0
2.63775E-3,55.045649032,0.575762543,0.013805934,0.521126761,0
2.64504E-3,55.310153475,0.576437075,0.013708019,0.525821596,0
2.6456E-3,55.574713615,0.576488482,0.013610105,0.525821596,0
2.64607E-3,55.83932017,0.57653131,0.01351219,0.525821596,0
2.65402E-3,56.104722264,0.577264056,0.013414276,0.525821596,0
2.66175E-3,56.370897631,0.577973866,0.013316362,0.525821596,0
2.66937E-3,56.637835092,0.578671087,0.013218447,0.530516432,0
2.6751E-3,56.905345125,0.579193405,0.013120533,0.535211268,0
2.68061E-3,57.173406204,0.579694865,0.013022618,0.539906103,0
2.68991E-3,57.442397149,0.580538351,0.012924704,0.539906103,0
2.69477E-3,57.71187464,0.580978353,0.012826789,0.544600939,0
2.69832E-3,57.981706967,0.581298661,0.012728875,0.544600939,0
2.69863E-3,58.251570109,0.581326455,0.012630961,0.544600939,0
2.70461E-3,58.522030665,0.581864562,0.012533046,0.544600939,0
2.70651E-3,58.792681663,0.582035809,0.012435132,0.544600939,0
2.71509E-3,59.064190946,0.582805842,0.012337217,0.544600939,0
2.71884E-3,59.336074835,0.583141042,0.012239303,0.544600939,0
2.72456E-3,59.608531024,0.583652099,0.012141388,0.549295775,0
2.72931E-3,59.881461971,0.584075104,0.012043474,0.55399061,0
2.74923E-3,60.156385322,0.585840981,0.01194556,0.55399061,0
2.74979E-3,60.431364096,0.585889888,0.011847645,0.55399061,0
2.75333E-3,60.706697442,0.586202502,0.011749731,0.55399061,0
2.75678E-3,60.982375816,0.58650625,0.011651816,0.558685446,0
2.75914E-3,61.258289638,0.586713271,0.011553902,0.563380282,0
2.76371E-3,61.534660305,0.58711437,0.011455987,0.568075117,0
2.76634E-3,61.811294554,0.587345434,0.011358073,0.572769953,0
2.76917E-3,62.088211464,0.587592937,0.011260159,0.577464789,0
2.77027E-3,62.365238344,0.587689149,0.011162244,0.582159624,0
2.77174E-3,62.642412219,0.587817682,0.01106433,0.582159624,0
2.77196E-3,62.91960854,0.587837302,0.010966415,0.58685446,0
2.77485E-3,63.197093157,0.588089135,0.010868501,0.58685446,0
2.77498E-3,63.474591216,0.588100869,0.010770587,0.591549296,0
2.79309E-3,63.753900337,0.589675766,0.010672672,0.591549296,0
2.8016E-3,64.034059969,0.590411222,0.010574758,0.596244131,0
2.81027E-3,64.315086632,0.591158253,0.010476843,0.600938967,0
2.83271E-3,64.598358101,0.59307977,0.010378929,0.600938967,0
2.84004E-3,64.882362458,0.593703206,0.010281014,0.605633803,0
2.84385E-3,65.166747947,0.594026663,0.0101831,0.610328638,0
2.85677E-3,65.452424591,0.595118619,0.010085186,0.615023474,0
2.86445E-3,65.738869104,0.595765238,0.009987271,0.61971831,0
2.86588E-3,66.02545756,0.595886223,0.009889357,0.624413146,0
2.8693E-3,66.312387455,0.596172913,0.009791442,0.629107981,0
2.87328E-3,66.599715654,0.596506837,0.009693528,0.633802817,0
2.90418E-3,66.890134148,0.599078985,0.009595613,0.633802817,0
2.90717E-3,67.180850953,0.599325544,0.009497699,0.638497653,0
2.90977E-3,67.471827578,0.599540043,0.009399785,0.643192488,0
2.94542E-3,67.766369156,0.602460121,0.00930187,0.643192488,0
2.96067E-3,68.062436345,0.603696789,0.009203956,0.647887324,0
2.97034E-3,68.359470061,0.604476288,0.009106041,0.65258216,0
2.99142E-3,68.658612491,0.606166354,0.009008127,0.657276995,0
2.99338E-3,68.95795049,0.606322366,0.008910212,0.661971831,0
3.00062E-3,69.258012814,0.606899105,0.008812298,0.661971831,0
3.01739E-3,69.559751669,0.60822757,0.008714384,0.666666667,0
3.01857E-3,69.861608929,0.608321054,0.008616469,0.671361502,0
3.02862E-3,70.164470851,0.609112467,0.008518555,0.676056338,0
3.03012E-3,70.467482814,0.609230386,0.00842064,0.680751174,0
3.04632E-3,70.77211466,0.610498954,0.008322726,0.685446009,0
3.05037E-3,71.077152116,0.610815309,0.008224812,0.685446009,0
3.06404E-3,71.383556122,0.611877375,0.008126897,0.690140845,0
3.08889E-3,71.69244481,0.61379366,0.008028983,0.694835681,0
3.10798E-3,72.003243278,0.615253745,0.007931068,0.694835681,0
3.11253E-3,72.314496291,0.615599633,0.007833154,0.699530516,0
3.13374E-3,72.627870584,0.617205644,0.007735239,0.704225352,0
3.13843E-3,72.941713498,0.617558626,0.007637325,0.708920188,0
3.14315E-3,73.256028083,0.61791325,0.007539411,0.713615023,0
3.14645E-3,73.57067357,0.618161644,0.007441496,0.718309859,0
3.15838E-3,73.886511921,0.619054403,0.007343582,0.723004695,0
