Predictor variable,Categorical,Sample average
layer0,false,8.211267605633802
layer1,false,42.140845070422536
layer10,false,154.45070422535213
layer11,false,36.0
layer12,false,159.38967136150234
layer13,false,0.011444956055479431
layer14,false,-0.006310191668981048
layer15,false,-0.0010097558461752733
layer16,false,0.11830986147755189
layer2,false,5.822535176792055
layer3,false,1246.868544600939
layer4,false,19.154929577464788
layer5,false,296.3145539906103
layer6,false,21.859154929577464
layer7,false,178.44948109550654
layer8,false,1.543380295446781
layer9,false,356.6431924882629
mask,false,8.211267605633802
