Species, X, Y
Ruellia_pedunculata, -92.002765, 31.070949
Ruellia_pedunculata, -91.403274, 37.159711
Ruellia_pedunculata, -93.461165, 35.569018
Ruellia_pedunculata, -94.141742, 31.791634
Ruellia_pedunculata, -92.339841, 36.286225
Ruellia_pedunculata, -92.168367, 33.463242
Ruellia_pedunculata, -90.089776, 36.270511
Ruellia_pedunculata, -91.733936, 33.953221
Ruellia_pedunculata, -90.877114, 37.968818
Ruellia_pedunculata, -92.153495, 35.862902
Ruellia_pedunculata, -91.42083, 37.28055
Ruellia_pedunculata, -90.12055, 38.01277
Ruellia_pedunculata, -93.8284381309, 36.710127438
Ruellia_pedunculata, -91.9633620948, 37.3201052484
Ruellia_pedunculata, -89.6857465525, 37.3844813842
Ruellia_pedunculata, -90.5371904049, 38.2646741212
Ruellia_pedunculata, -92.1547368898, 32.4794995444
Ruellia_pedunculata, -93.46805, 36.61194
Ruellia_pedunculata, -93.5406936858, 36.3401553605
Ruellia_pedunculata, -96.6667, 19.3333
Ruellia_pedunculata, -91.400825852, 37.1589161313
Ruellia_pedunculata, -93.0422099779, 36.6543815854
Ruellia_pedunculata, -90.7031, 38.0883
Ruellia_pedunculata, -94.370569, 32.547759
Ruellia_pedunculata, -88.229386, 37.758035
Ruellia_pedunculata, -90.8634309156, 36.6521626467
Ruellia_pedunculata, -91.57527, 36.98694
Ruellia_pedunculata, -91.845608, 31.666363
Ruellia_pedunculata, -92.65777, 37.08861
Ruellia_pedunculata, -89.5757, 37.2724
Ruellia_pedunculata, -92.1162906745, 32.0929017799
Ruellia_pedunculata, -93.82305, 36.57611
Ruellia_pedunculata, -89.6857465525, 37.3844813842
Ruellia_pedunculata, -93.0422099779, 36.6543815854
Ruellia_pedunculata, -90.4063571824, 36.7150708908
Ruellia_pedunculata, -90.21777, 38.00944
Ruellia_pedunculata, -92.994416, 32.81569
Ruellia_pedunculata, -94.224002, 34.474769
Ruellia_pedunculata, -89.4825, 37.46611
Ruellia_pedunculata, -91.9633620948, 37.3201052484
Ruellia_pedunculata, -93.7225, 37.18055
Ruellia_pedunculata, -89.53083, 37.3125
Ruellia_pedunculata, -95.166649, 31.835463
Ruellia_pedunculata, -89.090074, 30.41905
Ruellia_pedunculata, -94.830439, 30.797514
Ruellia_pedunculata, -95.997565, 28.784392
Ruellia_pedunculata, -90.965826, 36.94168
Ruellia_pedunculata, -94.73115, 33.117936
Ruellia_pedunculata, -93.712628, 35.215114
Ruellia_pedunculata, -92.70326, 35.917529
Ruellia_pedunculata, -89.131179, 37.227822
Ruellia_pedunculata, -93.055521, 32.34866
Ruellia_pedunculata, -93.465214, 36.740289
Ruellia_pedunculata, -91.557246, 34.827607
Ruellia_pedunculata, -91.772262, 33.190783
