X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-68.979,44.4267,train,0.0015763656605728839,28.322246510770363,0.2363219806853751
-77.413,34.715,train,0.0057059828884907186,50.355527014613884,0.5283301773756978
-71.619,41.3625,train,0.06141216834138204,99.99998430608976,0.9234049172780184
-72.926,41.26686,train,0.017963475325265585,63.3809719614469,0.7790721539428442
-72.451,41.279,train,0.015114545675460556,60.08282557828388,0.747926599596874
-72.105,41.307,train,0.024644966873096814,68.07928011595229,0.8287082121987657
-69.046,44.2175,train,0.0020632477631430594,34.02991847786539,0.28827192208453
-66.192,44.089,train,0.0026989319578036787,38.792217645844,0.34632856032361065
-71.045,41.501,train,0.04902384855313206,93.8588072349122,0.9058712654231698
-71.407,41.588,train,0.030111320122417,71.09053895353075,0.8553047637438311
-76.523,38.6422,train,0.005676765902555105,49.784913771591356,0.5270507226273439
-76.495,38.88219,train,0.0033429126520296477,41.188591442910585,0.39622232457884105
-77.887,34.51,train,0.0023368042082163344,35.80743813100864,0.3144731928121026
-74.136,40.539,train,0.040490196556950464,88.95639387741164,0.8882497856831819
-75.391,39.3609,train,0.0035951507716467154,41.548104885364985,0.4137493403414592
-74.084,40.5734,train,0.037345775681677455,84.90733138561893,0.8799700694640911
-73.975,40.5724,train,0.034610102028543026,77.63035527370046,0.8716998330256126
-74.059,40.6,train,0.035424546367094634,81.17289121426357,0.8742787315059221
-71.305,41.6722,train,0.022338312653064716,65.61483234063532,0.8143051168046151
-71.367,41.7658,train,0.013039502278215265,58.561064175478975,0.7190815471155334
