Predictor variable,Categorical,Sample average
layer0,false,15.0
layer1,false,26.0
layer10,false,233.5
layer11,false,35.0
layer12,false,274.0
layer13,false,7.481076731892244E-4
layer14,false,-0.0025178869254887104
layer15,false,9.160016197711229E-4
layer16,false,0.10000000149011612
layer2,false,5.0
layer3,false,1254.5
layer4,false,50.5
layer5,false,481.5
layer6,false,39.0
layer7,false,10.074109077453613
layer8,false,35.27000045776367
layer9,false,187.5
mask,false,15.0
