LayerName,FilterType,typeCode,TypeCodeDescription,LayerDescription,ProjectionDate,RCP,Correlated
clim.he8570.bio08,climate,bio08,Mean Temperature of Wettest Quarter,Mean Temperature of Wettest Quarter HE RCP85 2070,2070,85,no
clim.gs4570.bio01,climate,bio01,Annual Mean Temperature,Annual Mean Temperature GS RCP45 2070,2070,45,no
clim.gs4570.bio12,climate,bio12,Annual Precipitation,Annual Precipitation GS RCP45 2070,2070,45,no
clim.gs4570.bio15,climate,bio15,Precipitation Seasonality (Coefficient of Variation),Precipitation Seasonality (Coefficient of Variation) GS RCP45 2070,2070,45,no
clim.gs4570.bio18,climate,bio18,Precipitation of Warmest Quarter,Precipitation of Warmest Quarter GS RCP45 2070,2070,45,no
clim.gs4570.bio07,climate,bio07,Temperature Annual Range (BIO5-BIO6),Temperature Annual Range (BIO5-BIO6) GS RCP45 2070,2070,45,no
clim.gs4570.bio08,climate,bio08,Mean Temperature of Wettest Quarter,Mean Temperature of Wettest Quarter GS RCP45 2070,2070,45,no
clim.ac4550.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter AC RCP45 2050,2050,45,yes
clim.ac4550.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter AC RCP45 2050,2050,45,yes
clim.ac4550.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month AC RCP45 2050,2050,45,yes
clim.ac4550.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month AC RCP45 2050,2050,45,yes
clim.ac4550.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter AC RCP45 2050,2050,45,yes
clim.ac4550.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter AC RCP45 2050,2050,45,yes
clim.ac4550.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter AC RCP45 2050,2050,45,yes
clim.ac4550.bio02,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) AC RCP45 2050,2050,45,yes
clim.ac4550.bio03,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) AC RCP45 2050,2050,45,yes
clim.ac4550.bio04,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) AC RCP45 2050,2050,45,yes
clim.ac4550.bio05,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month AC RCP45 2050,2050,45,yes
clim.ac4550.bio06,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month AC RCP45 2050,2050,45,yes
clim.ac4550.bio09,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter AC RCP45 2050,2050,45,yes
clim.ac4570.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter AC RCP45 2070,2070,45,yes
clim.ac4570.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter AC RCP45 2070,2070,45,yes
clim.ac4570.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month AC RCP45 2070,2070,45,yes
clim.ac4570.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month AC RCP45 2070,2070,45,yes
clim.ac4570.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter AC RCP45 2070,2070,45,yes
clim.ac4570.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter AC RCP45 2070,2070,45,yes
clim.ac4570.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter AC RCP45 2070,2070,45,yes
clim.ac4570.bio02,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) AC RCP45 2070,2070,45,yes
clim.ac4570.bio03,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) AC RCP45 2070,2070,45,yes
clim.ac4570.bio04,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) AC RCP45 2070,2070,45,yes
clim.ac4570.bio05,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month AC RCP45 2070,2070,45,yes
clim.ac4570.bio06,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month AC RCP45 2070,2070,45,yes
clim.ac4570.bio09,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter AC RCP45 2070,2070,45,yes
clim.current.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter Current Climate 1960-2000,current,current,yes
clim.current.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter Current Climate 1960-2000,current,current,yes
clim.current.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month Current Climate 1960-2000,current,current,yes
clim.current.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month Current Climate 1960-2000,current,current,yes
clim.current.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter Current Climate 1960-2000,current,current,yes
clim.current.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter Current Climate 1960-2000,current,current,yes
clim.current.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter Current Climate 1960-2000,current,current,yes
clim.current.bio02,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) Current Climate 1960-2000,current,current,yes
clim.current.bio03,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) Current Climate 1960-2000,current,current,yes
clim.current.bio04,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) Current Climate 1960-2000,current,current,yes
clim.current.bio05,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month Current Climate 1960-2000,current,current,yes
clim.current.bio06,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month Current Climate 1960-2000,current,current,yes
clim.current.bio09,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter Current Climate 1960-2000,current,current,yes
clim.gd4550.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter GD RCP45 2050,2050,45,yes
clim.gd4550.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter GD RCP45 2050,2050,45,yes
clim.gd4550.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month GD RCP45 2050,2050,45,yes
clim.gd4550.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month GD RCP45 2050,2050,45,yes
clim.gd4550.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter GD RCP45 2050,2050,45,yes
clim.gd4550.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter GD RCP45 2050,2050,45,yes
clim.gd4550.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter GD RCP45 2050,2050,45,yes
clim.gd4550.bio02,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) GD RCP45 2050,2050,45,yes
clim.gd4550.bio03,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) GD RCP45 2050,2050,45,yes
clim.gd4550.bio04,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) GD RCP45 2050,2050,45,yes
clim.gd4550.bio05,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month GD RCP45 2050,2050,45,yes
clim.gd4550.bio06,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month GD RCP45 2050,2050,45,yes
clim.gd4550.bio09,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter GD RCP45 2050,2050,45,yes
clim.gd4570.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter GD RCP45 2070,2070,45,yes
clim.gd4570.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter GD RCP45 2070,2070,45,yes
clim.gd4570.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month GD RCP45 2070,2070,45,yes
clim.gd4570.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month GD RCP45 2070,2070,45,yes
clim.gd4570.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter GD RCP45 2070,2070,45,yes
clim.gd4570.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter GD RCP45 2070,2070,45,yes
clim.gd4570.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter GD RCP45 2070,2070,45,yes
clim.gd4570.bio02,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) GD RCP45 2070,2070,45,yes
clim.gd4570.bio03,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) GD RCP45 2070,2070,45,yes
clim.gd4570.bio04,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) GD RCP45 2070,2070,45,yes
clim.gd4570.bio05,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month GD RCP45 2070,2070,45,yes
clim.gd4570.bio06,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month GD RCP45 2070,2070,45,yes
clim.gd4570.bio09,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter GD RCP45 2070,2070,45,yes
clim.ggs4550.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter GS RCP45 2050,2050,45,yes
clim.ggs4550.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter GS RCP45 2050,2050,45,yes
clim.ggs4550.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month GS RCP45 2050,2050,45,yes
clim.ggs4550.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month GS RCP45 2050,2050,45,yes
clim.ggs4550.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter GS RCP45 2050,2050,45,yes
clim.ggs4550.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter GS RCP45 2050,2050,45,yes
clim.ggs4550.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter GS RCP45 2050,2050,45,yes
clim.ggs4550.bio02,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) GS RCP45 2050,2050,45,yes
clim.ggs4550.bio03,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) GS RCP45 2050,2050,45,yes
clim.ggs4550.bio04,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) GS RCP45 2050,2050,45,yes
clim.ggs4550.bio05,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month GS RCP45 2050,2050,45,yes
clim.ggs4550.bio06,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month GS RCP45 2050,2050,45,yes
clim.ggs4550.bio09,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter GS RCP45 2050,2050,45,yes
clim.gs4570.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter GS RCP45 2070,2070,45,yes
clim.gs4570.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter GS RCP45 2070,2070,45,yes
clim.gs4570.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month GS RCP45 2070,2070,45,yes
clim.gs4570.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month GS RCP45 2070,2070,45,yes
clim.gs4570.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter GS RCP45 2070,2070,45,yes
clim.gs4570.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter GS RCP45 2070,2070,45,yes
clim.gs4570.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter GS RCP45 2070,2070,45,yes
clim.gs4570.bio02,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) GS RCP45 2070,2070,45,yes
