taxa,shapefile present,n occurences,date downloaded,Family,BONAP ID,Group
hemigraphis_reptans,shape,1,Wed Jan 28 21:24:50 2015,Acanthaceae,BP009564,1
hygrophila_corymbosa,shape,1,Wed Jan 28 21:44:33 2015,Acanthaceae,BP010009,1
ruellia_drushelii,shape,1,Thu Jan 29 05:49:00 2015,Acanthaceae,BP017555,1
sanchezia_parvibracteata,shape,1,Thu Jan 29 04:32:06 2015,Acanthaceae,BP017934,1
avicennia_marina,shape,2,Wed Jan 28 17:41:02 2015,Acanthaceae,BP002201,1
eranthemum_pulchellum,shape,2,Wed Jan 28 20:39:18 2015,Acanthaceae,BP007373,1
justicia_carnea,shape,2,Wed Jan 28 22:02:20 2015,Acanthaceae,BP010732,1
nelsonia_canescens,shape,2,Wed Jan 28 23:36:07 2015,Acanthaceae,BP013407,1
pseuderanthemum_variabile,shape,2,Thu Jan 29 01:20:53 2015,Acanthaceae,BP016445,1
ruellia_davisiorum,shape,2,Thu Jan 29 01:54:18 2015,Acanthaceae,BP017552,1
thunbergia_erecta,shape,3,Thu Jan 29 03:05:06 2015,Acanthaceae,BP019982,1
acanthus_mollis,shape,4,Wed Jan 28 16:36:19 2015,Acanthaceae,BP000123,1
justicia_warnockii,shape,4,Wed Jan 28 22:08:35 2015,Acanthaceae,BP010744,1
carlowrightia_mexicana,shape,5,Wed Jan 28 18:23:18 2015,Acanthaceae,BP003809,1
carlowrightia_parvifolia,shape,5,Wed Jan 28 18:29:22 2015,Acanthaceae,BP003811,1
dyschoriste_crenulata,shape,5,Wed Jan 28 20:07:25 2015,Acanthaceae,BP006906,1
justicia_cooleyi,shape,6,Wed Jan 28 22:01:51 2015,Acanthaceae,BP010733,1
justicia_sonorae,shape,6,Wed Jan 28 22:07:11 2015,Acanthaceae,BP010741,1
graptophyllum_pictum,shape,8,Wed Jan 28 21:14:57 2015,Acanthaceae,BP009164,1
justicia_crassifolia,shape,8,Wed Jan 28 22:02:40 2015,Acanthaceae,BP010734,1
thunbergia_grandiflora,shape,8,Thu Jan 29 03:06:19 2015,Acanthaceae,BP019984,1
anisacanthus_puberulus,shape,9,Wed Jan 28 17:07:39 2015,Acanthaceae,BP001024,1
asystasia_gangetica,shape,10,Wed Jan 28 17:24:10 2015,Acanthaceae,BP002079,1
justicia_wrightii,shape,10,Wed Jan 28 22:08:42 2015,Acanthaceae,BP010745,1
barleria_cristata,shape,11,Wed Jan 28 17:44:23 2015,Acanthaceae,BP002308,1
carlowrightia_torreyana,shape,11,Wed Jan 28 18:37:57 2015,Acanthaceae,BP003814,1
ruellia_corzoi,shape,11,Thu Jan 29 01:54:00 2015,Acanthaceae,BP017551,1
yeatesia_platystegia,shape,11,Thu Jan 29 03:48:07 2015,Acanthaceae,BP021246,1
dyschoriste_angusta,shape,12,Wed Jan 28 20:07:43 2015,Acanthaceae,BP006905,1
hypoestes_phyllostachya,shape,13,Wed Jan 28 21:41:40 2015,Acanthaceae,BP010155,1
anisacanthus_linearis,shape,15,Wed Jan 28 17:06:19 2015,Acanthaceae,BP001023,1
justicia_turneri,shape,17,Wed Jan 28 22:08:03 2015,Acanthaceae,BP010743,1
ruellia_brevifolia,shape,18,Thu Jan 29 01:58:16 2015,Acanthaceae,BP017548,1
ruellia_metziae,shape,23,Thu Jan 29 01:53:59 2015,Acanthaceae,BP017558,1
hygrophila_costata,shape,24,Wed Jan 28 21:45:04 2015,Acanthaceae,BP010011,1
hygrophila_polysperma,shape,24,Wed Jan 28 21:39:14 2015,Acanthaceae,BP010012,1
carlowrightia_texana,shape,25,Wed Jan 28 18:35:27 2015,Acanthaceae,BP003813,1
ruellia_noctiflora,shape,25,Thu Jan 29 01:56:07 2015,Acanthaceae,BP017559,1
thunbergia_fragrans,shape,27,Thu Jan 29 03:06:10 2015,Acanthaceae,BP019983,1
carlowrightia_serpyllifolia,shape,28,Wed Jan 28 18:29:34 2015,Acanthaceae,BP003812,1
yeatesia_viridiflora,shape,30,Thu Jan 29 03:48:08 2015,Acanthaceae,BP021247,1
justicia_pectoralis,shape,35,Wed Jan 28 21:59:56 2015,Acanthaceae,BP010739,1
ruellia_drummondiana,shape,36,Thu Jan 29 05:48:46 2015,Acanthaceae,BP017554,1
ruellia_parryi,shape,36,Thu Jan 29 01:56:45 2015,Acanthaceae,BP017562,1
justicia_angusta,shape,37,Wed Jan 28 21:59:47 2015,Acanthaceae,BP010727,1
apassalus_humistratus,shape,38,Thu Jan 29 05:11:09 2015,Acanthaceae,BP006907,1
stenandrium_barbatum,shape,42,Thu Jan 29 02:54:20 2015,Acanthaceae,BP019365,1
carlowrightia_parviflora,shape,45,Wed Jan 28 18:24:56 2015,Acanthaceae,BP003810,1
justicia_brandegeeana,shape,45,Wed Jan 28 21:59:44 2015,Acanthaceae,BP010729,1
justicia_lanceolata,shape,45,Thu Jan 29 05:25:29 2015,Acanthaceae,BP010735,1
carlowrightia_linearifolia,shape,52,Wed Jan 28 18:05:26 2015,Acanthaceae,BP003808,1
ruellia_purshiana,shape,52,Thu Jan 29 01:57:17 2015,Acanthaceae,BP017565,1
elytraria_caroliniensis,shape,58,Thu Jan 29 05:11:46 2015,Acanthaceae,BP007175,1
ruellia_occidentalis,shape,65,Thu Jan 29 01:54:51 2015,Acanthaceae,BP017561,1
ruellia_simplex,shape,66,Thu Jan 29 01:57:27 2015,Acanthaceae,BP017557,1
odontonema_cuspidatum,shape,69,Thu Jan 29 05:36:17 2015,Acanthaceae,BP013630,1
thunbergia_alata,shape,92,Thu Jan 29 03:07:46 2015,Acanthaceae,BP019981,1
elytraria_bromoides,shape,94,Wed Jan 28 20:15:42 2015,Acanthaceae,BP007174,1
justicia_pilosella,shape,94,Wed Jan 28 22:07:03 2015,Acanthaceae,BP010740,1
stenandrium_dulce,shape,94,Thu Jan 29 02:48:22 2015,Acanthaceae,BP019366,1
dyschoriste_linearis,shape,104,Wed Jan 28 20:07:35 2015,Acanthaceae,BP006908,1
aphelandra_aurantiaca,shape,125,Thu Jan 29 03:51:10 2015,Acanthaceae,BP001126,1
justicia_longii,shape,127,Thu Jan 29 05:25:52 2015,Acanthaceae,BP010736,1
anisacanthus_quadrifidus,shape,139,Wed Jan 28 17:07:41 2015,Acanthaceae,BP001025,1
justicia_spicigera,shape,145,Wed Jan 28 22:07:59 2015,Acanthaceae,BP010742,1
dicliptera_sexangularis,shape,187,Wed Jan 28 19:58:13 2015,Acanthaceae,BP006460,1
dyschoriste_oblongifolia,shape,228,Wed Jan 28 20:07:41 2015,Acanthaceae,BP006909,1
ruellia_pedunculata,shape,249,Thu Jan 29 01:57:06 2015,Acanthaceae,BP017563,1
justicia_candicans,shape,251,Wed Jan 28 22:02:11 2015,Acanthaceae,BP010731,1
dicliptera_resupinata,shape,284,Wed Jan 28 19:54:28 2015,Acanthaceae,BP006459,1
henrya_insularis,shape,310,Thu Jan 29 04:23:00 2015,Acanthaceae,BP009570,1
justicia_ovata,shape,318,Wed Jan 28 22:05:24 2015,Acanthaceae,BP010737,1
dyschoriste_schiedeana,shape,331,Wed Jan 28 20:07:28 2015,Acanthaceae,BP006910,1
justicia_californica,shape,344,Thu Jan 29 04:43:48 2015,Acanthaceae,BP010730,1
anisacanthus_thurberi,shape,364,Wed Jan 28 17:08:22 2015,Acanthaceae,BP001026,1
carlowrightia_arizonica,shape,366,Wed Jan 28 18:40:35 2015,Acanthaceae,BP003807,1
dicliptera_brachiata,shape,416,Wed Jan 28 19:55:08 2015,Acanthaceae,BP006457,1
blechum_pyramidatum,shape,430,Wed Jan 28 17:50:48 2015,Acanthaceae,BP017547,1
ruellia_nudiflora,shape,482,Thu Jan 29 01:56:37 2015,Acanthaceae,BP017560,1
avicennia_germinans,shape,519,Wed Jan 28 17:41:22 2015,Acanthaceae,BP002200,1
tetramerium_nervosum,shape,574,Thu Jan 29 03:04:45 2015,Acanthaceae,BP019833,1
elytraria_imbricata,shape,618,Wed Jan 28 20:11:58 2015,Acanthaceae,BP007176,1
ruellia_strepens,shape,878,Thu Jan 29 01:53:49 2015,Acanthaceae,BP017567,1
ruellia_humilis,shape,1043,Thu Jan 29 01:54:44 2015,Acanthaceae,BP017556,1
justicia_americana,shape,1135,Wed Jan 28 22:07:14 2015,Acanthaceae,BP010726,1
ruellia_caroliniensis,shape,1208,Thu Jan 29 01:53:40 2015,Acanthaceae,BP017549,1
phaulothamnus_spinescens,shape,84,Thu Jan 29 00:34:29 2015,Achatocarpaceae,BP015124,1
acorus_calamus,shape,1172,Wed Jan 28 16:33:06 2015,Acoraceae,BP000243,1
actinidia_arguta,shape,1,Wed Jan 28 16:33:16 2015,Actinidiaceae,BP000263,1
viburnum_australe,shape,2,Thu Jan 29 03:37:17 2015,Adoxaceae,BP020855,1
viburnum_bracteatum,shape,4,Thu Jan 29 03:37:46 2015,Adoxaceae,BP020856,1
viburnum_rafinesquianum,shape,5,Thu Jan 29 03:42:15 2015,Adoxaceae,BP020874,1
viburnum_tinus,shape,6,Thu Jan 29 03:43:09 2015,Adoxaceae,BP020877,1
viburnum_setigerum,shape,9,Thu Jan 29 03:42:43 2015,Adoxaceae,BP020879,1
viburnum_sieboldii,shape,29,Thu Jan 29 03:42:51 2015,Adoxaceae,BP020880,1
viburnum_lantana,shape,55,Thu Jan 29 03:39:10 2015,Adoxaceae,BP020863,1
viburnum_plicatum,shape,76,Thu Jan 29 03:41:44 2015,Adoxaceae,BP020872,1
viburnum_dilatatum,shape,101,Thu Jan 29 03:38:59 2015,Adoxaceae,BP020860,1
viburnum_ellipticum,shape,103,Thu Jan 29 03:39:09 2015,Adoxaceae,BP020862,1
viburnum_molle,shape,110,Thu Jan 29 03:40:24 2015,Adoxaceae,BP020866,1
viburnum_obovatum,shape,149,Thu Jan 29 03:41:19 2015,Adoxaceae,BP020868,1
adoxa_moschatellina,shape,170,Wed Jan 28 16:40:08 2015,Adoxaceae,BP000309,1
viburnum_recognitum,shape,349,Thu Jan 29 03:51:20 2015,Adoxaceae,BP020875,1
viburnum_edule,shape,640,Thu Jan 29 03:39:02 2015,Adoxaceae,BP020861,1
viburnum_opulus,shape,642,Thu Jan 29 03:41:21 2015,Adoxaceae,BP020870,1
viburnum_lantanoides,shape,699,Thu Jan 29 03:40:19 2015,Adoxaceae,BP020864,1
viburnum_lentago,shape,846,Thu Jan 29 03:39:57 2015,Adoxaceae,BP020865,1
viburnum_nudum,shape,990,Thu Jan 29 03:40:52 2015,Adoxaceae,BP020867,1
viburnum_dentatum,shape,1304,Thu Jan 29 06:03:08 2015,Adoxaceae,BP020859,1
viburnum_rufidulum,shape,1575,Thu Jan 29 03:42:24 2015,Adoxaceae,BP020878,1
sambucus_nigra,shape,2138,Thu Jan 29 01:59:59 2015,Adoxaceae,BP017928,1
sambucus_racemosa,shape,2322,Thu Jan 29 02:07:25 2015,Adoxaceae,BP017929,1
viburnum_prunifolium,shape,2419,Thu Jan 29 03:42:06 2015,Adoxaceae,BP020873,1
viburnum_acerifolium,shape,2962,Thu Jan 29 03:37:02 2015,Adoxaceae,BP020854,1
drosanthemum_floribundum,shape,1,Wed Jan 28 20:06:06 2015,Aizoaceae,BP006764,1
galenia_pubescens,shape,1,Wed Jan 28 21:04:31 2015,Aizoaceae,BP008738,1
galenia_secunda,shape,1,Wed Jan 28 21:03:16 2015,Aizoaceae,BP008739,1
sesuvium_trianthemoides,shape,1,Thu Jan 29 02:24:16 2015,Aizoaceae,BP018555,1
lampranthus_coccineus,shape,3,Wed Jan 28 22:18:03 2015,Aizoaceae,BP010942,1
conicosia_pugioniformis,shape,4,Wed Jan 28 19:19:48 2015,Aizoaceae,BP004928,1
malephora_crocea,shape,6,Wed Jan 28 23:03:42 2015,Aizoaceae,BP012300,1
carpobrotus_edulis,shape,23,Wed Jan 28 18:10:19 2015,Aizoaceae,BP003831,1
carpobrotus_chilensis,shape,30,Wed Jan 28 18:11:10 2015,Aizoaceae,BP003830,1
mesembryanthemum_nodiflorum,shape,32,Wed Jan 28 23:09:56 2015,Aizoaceae,BP012728,1
tetragonia_tetragonioides,shape,35,Thu Jan 29 06:00:07 2015,Aizoaceae,BP019828,1
mesembryanthemum_crystallinum,shape,40,Wed Jan 28 23:11:52 2015,Aizoaceae,BP012727,1
cypselea_humifusa,shape,45,Wed Jan 28 19:42:10 2015,Aizoaceae,BP005956,1
sesuvium_maritimum,shape,81,Thu Jan 29 02:22:35 2015,Aizoaceae,BP018553,1
sesuvium_verrucosum,shape,224,Thu Jan 29 02:26:13 2015,Aizoaceae,BP018556,1
sesuvium_portulacastrum,shape,315,Thu Jan 29 02:22:54 2015,Aizoaceae,BP018554,1
trianthema_portulacastrum,shape,408,Thu Jan 29 03:22:00 2015,Aizoaceae,BP020217,1
baldellia_ranunculoides,shape,1,Wed Jan 28 17:43:56 2015,Alismataceae,BP002255,1
sagittaria_secundifolia,shape,3,Thu Jan 29 02:09:34 2015,Alismataceae,BP017718,1
echinodorus_grandiflorus,shape,4,Wed Jan 28 20:08:24 2015,Alismataceae,BP006987,1
sagittaria_macrocarpa,shape,4,Thu Jan 29 02:05:36 2015,Alismataceae,BP017712,1
hydrocleys_nymphoides,shape,6,Wed Jan 28 21:45:01 2015,Alismataceae,BP009984,1
alisma_plantago-aquatica,shape,8,Wed Jan 28 16:55:07 2015,Alismataceae,BP000568,1
sagittaria_fasciculata,shape,13,Thu Jan 29 02:00:04 2015,Alismataceae,BP017703,1
sagittaria_kurziana,shape,13,Thu Jan 29 02:04:54 2015,Alismataceae,BP017708,1
sagittaria_guayanensis,shape,17,Thu Jan 29 02:02:25 2015,Alismataceae,BP017706,1
sagittaria_sanfordii,shape,24,Thu Jan 29 02:09:16 2015,Alismataceae,BP017717,1
sagittaria_teres,shape,24,Thu Jan 29 02:03:35 2015,Alismataceae,BP017721,1
sagittaria_demersa,shape,27,Thu Jan 29 02:02:27 2015,Alismataceae,BP017701,1
sagittaria_cristata,shape,31,Thu Jan 29 02:00:55 2015,Alismataceae,BP017699,1
sagittaria_filiformis,shape,37,Thu Jan 29 02:03:29 2015,Alismataceae,BP017704,1
sagittaria_ambigua,shape,45,Thu Jan 29 02:10:31 2015,Alismataceae,BP017694,1
alisma_lanceolatum,shape,46,Wed Jan 28 16:52:23 2015,Alismataceae,BP000567,1
sagittaria_isoetiformis,shape,57,Thu Jan 29 02:04:20 2015,Alismataceae,BP017707,1
sagittaria_papillosa,shape,66,Thu Jan 29 02:01:43 2015,Alismataceae,BP017714,1
helanthium_tenellum,shape,81,Wed Jan 28 21:28:07 2015,Alismataceae,BP009421,1
sagittaria_engelmanniana,shape,93,Thu Jan 29 02:02:35 2015,Alismataceae,BP017702,1
damasonium_californicum,shape,104,Wed Jan 28 19:47:10 2015,Alismataceae,BP006120,1
sagittaria_subulata,shape,118,Thu Jan 29 02:09:51 2015,Alismataceae,BP017720,1
sagittaria_montevidensis,shape,126,Thu Jan 29 05:53:36 2015,Alismataceae,BP017697,1
sagittaria_australis,shape,143,Thu Jan 29 01:59:08 2015,Alismataceae,BP017695,1
sagittaria_longiloba,shape,175,Thu Jan 29 02:05:19 2015,Alismataceae,BP017711,1
alisma_gramineum,shape,213,Wed Jan 28 16:52:16 2015,Alismataceae,BP000566,1
sagittaria_platyphylla,shape,225,Thu Jan 29 02:07:50 2015,Alismataceae,BP017715,1
sagittaria_lancifolia,shape,371,Thu Jan 29 02:05:14 2015,Alismataceae,BP017709,1
echinodorus_cordifolius,shape,383,Wed Jan 28 20:08:04 2015,Alismataceae,BP006986,1
echinodorus_berteroi,shape,404,Wed Jan 28 20:09:22 2015,Alismataceae,BP006985,1
sagittaria_rigida,shape,435,Thu Jan 29 02:08:31 2015,Alismataceae,BP017716,1
sagittaria_brevirostra,shape,486,Thu Jan 29 02:00:00 2015,Alismataceae,BP017696,1
sagittaria_cuneata,shape,806,Thu Jan 29 02:02:21 2015,Alismataceae,BP017700,1
sagittaria_graminea,shape,865,Thu Jan 29 02:03:30 2015,Alismataceae,BP017705,1
alisma_triviale,shape,972,Wed Jan 28 16:56:40 2015,Alismataceae,BP000570,1
alisma_subcordatum,shape,1105,Wed Jan 28 16:56:23 2015,Alismataceae,BP000569,1
sagittaria_latifolia,shape,2431,Thu Jan 29 02:05:28 2015,Alismataceae,BP017710,1
alstroemeria_pulchella,shape,6,Wed Jan 28 16:55:12 2015,Alstroemeriaceae,BP000731,1
liquidambar_styraciflua,shape,641248,Wed Jan 28 22:32:18 2015,Altingiaceae,BP011590,1
amaranthus_muricatus,shape,1,Wed Jan 28 17:00:46 2015,Amaranthaceae,BP000777,1
atriplex_neomexicana,shape,1,Thu Jan 29 04:38:38 2015,Amaranthaceae,BP002174,1
atriplex_nudicaulis,shape,1,Wed Jan 28 17:39:35 2015,Amaranthaceae,BP021421,1
chenopodium_carnosulum,shape,1,Thu Jan 29 04:16:57 2015,Amaranthaceae,BP004345,1
corispermum_navicula,shape,1,Wed Jan 28 19:14:10 2015,Amaranthaceae,BP005060,1
polycnemum_arvense,shape,1,Thu Jan 29 01:11:58 2015,Amaranthaceae,BP021818,1
suaeda_linifolia,shape,1,Thu Jan 29 02:55:48 2015,Amaranthaceae,BP019543,1
amaranthus_viscidulus,shape,2,Wed Jan 28 17:01:19 2015,Amaranthaceae,BP000793,1
atriplex_amnicola,shape,2,Wed Jan 28 17:38:19 2015,Amaranthaceae,BP002094,1
atriplex_joaquinana,shape,2,Wed Jan 28 17:39:18 2015,Amaranthaceae,BP008422,1
atriplex_tularensis,shape,2,Wed Jan 28 17:40:18 2015,Amaranthaceae,BP002165,1
dysphania_aristata,shape,2,Wed Jan 28 20:07:33 2015,Amaranthaceae,BP006913,1
gomphrena_haageana,shape,2,Wed Jan 28 21:13:51 2015,Amaranthaceae,BP009132,1
atriplex_nummularia,shape,3,Thu Jan 29 04:14:01 2015,Amaranthaceae,BP002138,1
atriplex_welshii,shape,3,Wed Jan 28 17:40:25 2015,Amaranthaceae,BP002170,1
polycnemum_majus,shape,3,Thu Jan 29 05:41:21 2015,Amaranthaceae,BP015988,1
atriplex_glauca,shape,4,Thu Jan 29 04:13:53 2015,Amaranthaceae,BP002115,1
atriplex_lindleyi,shape,4,Wed Jan 28 17:39:24 2015,Amaranthaceae,BP002127,1
atriplex_pachypoda,shape,4,Wed Jan 28 17:39:37 2015,Amaranthaceae,BP002142,1
atriplex_tatarica,shape,4,Wed Jan 28 17:40:09 2015,Amaranthaceae,BP002160,1
chenopodium_opulifolium,shape,4,Wed Jan 28 18:54:19 2015,Amaranthaceae,BP004359,1
corispermum_pallidum,shape,4,Wed Jan 28 19:16:55 2015,Amaranthaceae,BP005063,1
corispermum_welshii,shape,4,Wed Jan 28 19:19:40 2015,Amaranthaceae,BP005065,1
suaeda_rolandii,shape,4,Thu Jan 29 02:55:39 2015,Amaranthaceae,BP019548,1
amaranthus_crispus,shape,5,Wed Jan 28 16:59:01 2015,Amaranthaceae,BP000766,1
atriplex_klebergorum,shape,5,Thu Jan 29 04:13:55 2015,Amaranthaceae,BP002123,1
atriplex_laciniata,shape,5,Wed Jan 28 17:39:20 2015,Amaranthaceae,BP021420,1
chenopodium_quinoa,shape,5,Thu Jan 29 04:17:35 2015,Amaranthaceae,BP004362,1
sarcocornia_pacifica,shape,5,Thu Jan 29 02:11:16 2015,Amaranthaceae,BP017989,1
suaeda_tampicensis,shape,5,Thu Jan 29 02:56:02 2015,Amaranthaceae,BP019549,1
tidestromia_carnosa,shape,5,Thu Jan 29 03:11:00 2015,Amaranthaceae,BP020019,1
aphanisma_blitoides,shape,6,Wed Jan 28 17:09:23 2015,Amaranthaceae,BP001121,1
atriplex_aptera,shape,6,Thu Jan 29 04:55:38 2015,Amaranthaceae,BP002173,1
atriplex_oblongifolia,shape,6,Wed Jan 28 17:38:55 2015,Amaranthaceae,BP002140,1
froelichia_drummondii,shape,6,Thu Jan 29 05:17:26 2015,Amaranthaceae,BP008659,1
suaeda_conferta,shape,6,Thu Jan 29 02:55:32 2015,Amaranthaceae,BP019540,1
atriplex_watsonii,shape,7,Wed Jan 28 17:40:19 2015,Amaranthaceae,BP002169,1
celosia_palmeri,shape,7,Wed Jan 28 18:45:55 2015,Amaranthaceae,BP004108,1
corispermum_hookeri,shape,7,Wed Jan 28 19:08:51 2015,Amaranthaceae,BP021555,1
neokochia_californica,shape,7,Thu Jan 29 04:56:09 2015,Amaranthaceae,BP013450,1
arthrocnemum_subterminale,shape,8,Wed Jan 28 17:16:46 2015,Amaranthaceae,BP001514,1
atriplex_nuttallii,shape,8,Wed Jan 28 17:39:38 2015,Amaranthaceae,BP002139,1
alternanthera_ficoidea,shape,9,Wed Jan 28 16:51:46 2015,Amaranthaceae,BP000734,1
atriplex_navajoensis,shape,9,Wed Jan 28 17:39:32 2015,Amaranthaceae,BP002113,1
krascheninnikovia_ceratoides,shape,9,Wed Jan 28 22:11:42 2015,Amaranthaceae,BP010852,1
amaranthus_tricolor,shape,10,Wed Jan 28 17:02:20 2015,Amaranthaceae,BP000789,1
atriplex_coulteri,shape,10,Wed Jan 28 17:38:41 2015,Amaranthaceae,BP002103,1
atriplex_bonnevillensis,shape,11,Wed Jan 28 17:38:33 2015,Amaranthaceae,BP002097,1
atriplex_pleiantha,shape,11,Thu Jan 29 04:14:03 2015,Amaranthaceae,BP016354,1
chenopodium_foggii,shape,11,Wed Jan 28 18:51:25 2015,Amaranthaceae,BP004349,1
salsola_soda,shape,11,Thu Jan 29 02:08:04 2015,Amaranthaceae,BP017849,1
alternanthera_brasiliana,shape,12,Wed Jan 28 16:50:23 2015,Amaranthaceae,BP000732,1
alternanthera_paronychioides,shape,12,Wed Jan 28 16:54:40 2015,Amaranthaceae,BP000737,1
amaranthus_venulosus,shape,12,Wed Jan 28 17:02:34 2015,Amaranthaceae,BP000791,1
celosia_trigyna,shape,12,Wed Jan 28 18:46:35 2015,Amaranthaceae,BP004109,1
corispermum_pacificum,shape,12,Thu Jan 29 05:04:51 2015,Amaranthaceae,BP005061,1
amaranthus_floridanus,shape,13,Wed Jan 28 16:59:35 2015,Amaranthaceae,BP000771,1
iresine_leptoclada,shape,13,Wed Jan 28 21:52:49 2015,Amaranthaceae,BP010332,1
nitrophila_mohavensis,shape,13,Wed Jan 28 23:38:43 2015,Amaranthaceae,BP013529,1
monolepis_spathulata,shape,14,Wed Jan 28 23:25:46 2015,Amaranthaceae,BP013049,1
corispermum_ochotense,shape,16,Wed Jan 28 19:15:49 2015,Amaranthaceae,BP021556,1
amaranthus_wrightii,shape,17,Wed Jan 28 17:02:41 2015,Amaranthaceae,BP000795,1
atriplex_spinifera,shape,17,Wed Jan 28 17:40:03 2015,Amaranthaceae,BP002156,1
suaeda_esteroa,shape,17,Thu Jan 29 02:55:40 2015,Amaranthaceae,BP019541,1
atriplex_texana,shape,19,Wed Jan 28 17:40:11 2015,Amaranthaceae,BP002161,1
corispermum_pallasii,shape,19,Wed Jan 28 19:16:54 2015,Amaranthaceae,BP005062,1
amaranthus_obcordatus,shape,20,Wed Jan 28 17:00:56 2015,Amaranthaceae,BP000778,1
atriplex_parryi,shape,20,Thu Jan 29 04:13:48 2015,Amaranthaceae,BP002145,1
amaranthus_scleropoides,shape,21,Wed Jan 28 17:01:43 2015,Amaranthaceae,BP000784,1
grayia_brandegeei,shape,22,Wed Jan 28 21:15:48 2015,Amaranthaceae,BP009179,1
atriplex_griffithsii,shape,23,Wed Jan 28 17:39:10 2015,Amaranthaceae,BP002118,1
spinacia_oleracea,shape,23,Thu Jan 29 02:46:53 2015,Amaranthaceae,BP019183,1
suaeda_mexicana,shape,23,Thu Jan 29 02:55:43 2015,Amaranthaceae,BP019545,1
alternanthera_flavescens,shape,25,Wed Jan 28 16:51:48 2015,Amaranthaceae,BP000735,1
atriplex_wolfii,shape,25,Thu Jan 29 04:56:02 2015,Amaranthaceae,BP002171,1
gomphrena_nealleyi,shape,25,Wed Jan 28 21:13:58 2015,Amaranthaceae,BP009133,1
sarcocornia_utahensis,shape,25,Thu Jan 29 02:07:54 2015,Amaranthaceae,BP017990,1
atriplex_graciliflora,shape,26,Wed Jan 28 17:38:20 2015,Amaranthaceae,BP002117,1
suaeda_taxifolia,shape,26,Thu Jan 29 02:56:09 2015,Amaranthaceae,BP019550,1
atriplex_pacifica,shape,27,Thu Jan 29 04:55:54 2015,Amaranthaceae,BP002143,1
chenopodium_bonus-henricus,shape,27,Wed Jan 28 18:49:34 2015,Amaranthaceae,BP004343,1
amaranthus_tucsonensis,shape,28,Wed Jan 28 17:02:26 2015,Amaranthaceae,BP000797,1
atriplex_suberecta,shape,29,Wed Jan 28 17:40:06 2015,Amaranthaceae,BP002158,1
amaranthus_hypochondriacus,shape,33,Wed Jan 28 17:00:04 2015,Amaranthaceae,BP000775,1
atriplex_pusilla,shape,34,Wed Jan 28 17:40:10 2015,Amaranthaceae,BP002151,1
atriplex_californica,shape,35,Thu Jan 29 04:55:42 2015,Amaranthaceae,BP008421,1
atriplex_leucophylla,shape,37,Wed Jan 28 17:39:13 2015,Amaranthaceae,BP002126,1
chenopodium_nevadense,shape,37,Wed Jan 28 18:54:21 2015,Amaranthaceae,BP004357,1
chenopodium_subglabrum,shape,37,Wed Jan 28 18:48:51 2015,Amaranthaceae,BP004365,1
atriplex_serenana,shape,38,Wed Jan 28 17:40:00 2015,Amaranthaceae,BP002155,1
chenopodium_cycloides,shape,38,Thu Jan 29 04:16:57 2015,Amaranthaceae,BP004346,1
corispermum_villosum,shape,38,Wed Jan 28 19:16:55 2015,Amaranthaceae,BP005064,1
amaranthus_crassipes,shape,39,Wed Jan 28 16:59:07 2015,Amaranthaceae,BP000765,1
amaranthus_pumilus,shape,39,Wed Jan 28 17:01:25 2015,Amaranthaceae,BP000782,1
atriplex_fruticulosa,shape,39,Thu Jan 29 04:55:46 2015,Amaranthaceae,BP002111,1
atriplex_littoralis,shape,39,Wed Jan 28 17:39:28 2015,Amaranthaceae,BP002128,1
chenopodium_chenopodioides,shape,39,Wed Jan 28 18:50:06 2015,Amaranthaceae,BP002485,1
chenopodium_ficifolium,shape,39,Wed Jan 28 18:50:38 2015,Amaranthaceae,BP004348,1
alternanthera_pungens,shape,41,Wed Jan 28 16:55:17 2015,Amaranthaceae,BP000739,1
amaranthus_acanthochiton,shape,41,Wed Jan 28 16:57:06 2015,Amaranthaceae,BP000755,1
suaeda_occidentalis,shape,42,Thu Jan 29 02:55:56 2015,Amaranthaceae,BP019547,1
amaranthus_polygonoides,shape,43,Wed Jan 28 17:01:12 2015,Amaranthaceae,BP000780,1
tidestromia_suffruticosa,shape,43,Thu Jan 29 03:09:51 2015,Amaranthaceae,BP020020,1
chenopodium_hians,shape,44,Wed Jan 28 18:49:19 2015,Amaranthaceae,BP004351,1
dysphania_multifida,shape,45,Wed Jan 28 20:07:36 2015,Amaranthaceae,BP006918,1
guilleminea_lanuginosa,shape,46,Wed Jan 28 21:16:27 2015,Amaranthaceae,BP009146,1
atriplex_cordulata,shape,47,Wed Jan 28 17:38:40 2015,Amaranthaceae,BP002100,1
iresine_palmeri,shape,47,Wed Jan 28 21:52:57 2015,Amaranthaceae,BP010333,1
suaeda_californica,shape,47,Thu Jan 29 02:55:33 2015,Amaranthaceae,BP019539,1
amaranthus_deflexus,shape,48,Wed Jan 28 16:59:11 2015,Amaranthaceae,BP000768,1
atriplex_phyllostegia,shape,49,Wed Jan 28 17:38:33 2015,Amaranthaceae,BP019506,1
atriplex_tridentata,shape,52,Wed Jan 28 17:40:17 2015,Amaranthaceae,BP002163,1
axyris_amaranthoides,shape,52,Wed Jan 28 17:41:29 2015,Amaranthaceae,BP002205,1
chenopodium_polyspermum,shape,54,Wed Jan 28 18:55:07 2015,Amaranthaceae,BP011558,1
