Subsp_Ritaxa,long,lat
Camar_1396C,-6.83,52.236
Camar_1396C,-6.83,52.236
Camar_1396C,1.663,52.271
Camar_1396C,1.517,52.276
Camar_1396C,-9.907,52.317
Camar_1396C,-6.534,52.323
Camar_1396C,-6.534,52.323
Camar_1396C,4.544,52.328
Camar_1396C,1.67,52.361
Camar_1396C,4.543,52.37300000000001
Camar_1396C,-4.206,52.397
Camar_1396C,-4.059,52.4
Camar_1396C,-6.384,52.411
Camar_1396C,4.541,52.463
Camar_1396C,-9.621,52.50100000000001
Camar_1396C,-6.23,52.588
Camar_1396C,-6.377999999999999,52.591
Camar_1396C,1.693,52.63
Camar_1396C,1.545,52.635
Camar_1396C,-4.072,52.67
Camar_1396C,-9.627,52.68
Camar_1396C,4.6110000000000015,52.688
Camar_1396C,-4.52,52.75100000000001
Camar_1396C,-4.822,52.834
Camar_1396C,-4.674,52.837
Camar_1396C,-4.377,52.844
Camar_1396C,-0.071,52.852
Camar_1396C,4.682,52.869
Camar_1396C,1.271,52.912
Camar_1396C,0.825,52.924
Camar_1396C,0.379,52.934
Camar_1396C,4.681,52.959
Camar_1396C,5.053,52.96
Camar_1396C,4.68,53.003
Camar_1396C,4.754,53.004
Camar_1396C,5.2010000000000005,53.005
Camar_1396C,0.086,53.029
Camar_1396C,-6.063,53.035
Camar_1396C,-9.79,53.038
Camar_1396C,-9.641,53.04
Camar_1396C,-9.343,53.043
Camar_1396C,-9.194,53.045
Camar_1396C,-9.194,53.045
Camar_1396C,5.276,53.05
Camar_1396C,4.753,53.094
Camar_1396C,-4.392,53.113
Camar_1396C,0.24,53.11600000000001
Camar_1396C,5.425,53.185
Camar_1396C,-3.798,53.214
Camar_1396C,-9.947,53.215
Camar_1396C,-3.649,53.216
Camar_1396C,-9.648,53.219
Camar_1396C,-3.2,53.221
Camar_1396C,-9.498,53.221
Camar_1396C,-9.199,53.225
Camar_1396C,5.275,53.23
Camar_1396C,5.275,53.275
Camar_1396C,-3.952,53.301
Camar_1396C,-10.101,53.302
Camar_1396C,-6.2010000000000005,53.307
Camar_1396C,-6.2010000000000005,53.307
Camar_1396C,-6.2010000000000005,53.307
Camar_1396C,-6.35,53.309
Camar_1396C,-6.35,53.309
Camar_1396C,5.125,53.365
Camar_1396C,5.2,53.365
Camar_1396C,-10.255,53.389
Camar_1396C,-6.197,53.397
Camar_1396C,-2.603,53.405
Camar_1396C,5.275,53.41
Camar_1396C,5.425,53.41
Camar_1396C,5.952000000000001,53.45399999999999
Camar_1396C,5.5760000000000005,53.455
Camar_1396C,5.501,53.455
Camar_1396C,8.25,53.46
Camar_1396C,8.58,53.46
Camar_1396C,9.75,53.46
Camar_1396C,0.108,53.478
Camar_1396C,-6.0420000000000025,53.484
Camar_1396C,6.329,53.496
Camar_1396C,6.1789999999999985,53.497
Camar_1396C,6.103,53.49800000000001
Camar_1396C,6.557,53.539
Camar_1396C,8.08,53.56
Camar_1396C,8.25,53.56
Camar_1396C,8.58,53.56
Camar_1396C,9.58,53.56
Camar_1396C,9.75,53.56
Camar_1396C,-6.34,53.57899999999999
Camar_1396C,-3.21,53.581
Camar_1396C,-3.059,53.582
Camar_1396C,6.75,53.66
Camar_1396C,8.08,53.66
Camar_1396C,8.25,53.66
Camar_1396C,8.42,53.66
Camar_1396C,8.58,53.66
Camar_1396C,9.42,53.66
Camar_1396C,9.58,53.66
Camar_1396C,-9.967,53.664
Camar_1396C,-6.336,53.668
Camar_1396C,8.015,53.699
Camar_1396C,-9.82,53.756
Camar_1396C,-6.3329999999999975,53.758
Camar_1396C,8.08,53.76
Camar_1396C,8.25,53.76
Camar_1396C,8.42,53.76
Camar_1396C,8.58,53.76
Camar_1396C,9.42,53.76
Camar_1396C,-3.063,53.762
Camar_1396C,7.896,53.78
Camar_1396C,7.899,53.788
Camar_1396C,-6.481,53.85
Camar_1396C,8.58,53.86
Camar_1396C,8.75,53.86
Camar_1396C,9.25,53.86
Camar_1396C,9.42,53.86
Camar_1396C,-10.132,53.931
Camar_1396C,-6.174,53.93600000000001
Camar_1396C,-6.3260000000000005,53.938
Camar_1396C,-2.9160000000000004,53.94300000000001
Camar_1396C,8.42,53.96
Camar_1396C,9.08,53.96
Camar_1396C,-4.748,54.005
Camar_1396C,-6.017,54.023
Camar_1396C,-6.17,54.025
Camar_1396C,-3.2230000000000003,54.03
Camar_1396C,-3.378,54.118
Camar_1396C,-3.225,54.12
Camar_1396C,-9.224,54.12300000000001
Camar_1396C,-4.454,54.191
Camar_1396C,-5.702000000000001,54.197
Camar_1396C,-5.855,54.2
Camar_1396C,-6.009,54.203
Camar_1396C,-8.767000000000001,54.217
Camar_1396C,-8.767000000000001,54.217
