Species, X, Y
Tetramerium_nervosum, -100.91, 18.23
Tetramerium_nervosum, -100.191, 18.887
Tetramerium_nervosum, -99.538, 18.991
Tetramerium_nervosum, -101.612, 26.752
Tetramerium_nervosum, -104.894, 21.516
Tetramerium_nervosum, -100.976, 22.151
Tetramerium_nervosum, -100.153, 18.906
Tetramerium_nervosum, -100.308, 25.671
Tetramerium_nervosum, -106.089, 28.635
Tetramerium_nervosum, -99.382, 20.737
Tetramerium_nervosum, -110.899, 27.918
Tetramerium_nervosum, -104.894, 21.516
Tetramerium_nervosum, -99.234, 18.919
Tetramerium_nervosum, -103.098, 19.833
Tetramerium_nervosum, -112.033, 26.233
Tetramerium_nervosum, -110.033, 23.167
Tetramerium_nervosum, -89.018, 20.931
Tetramerium_nervosum, -92.19, 16.11
Tetramerium_nervosum, -110.017, 23.65
Tetramerium_nervosum, -110.25, 23.917
Tetramerium_nervosum, -109.783, 23.5
Tetramerium_nervosum, -112.4, 27.0
Tetramerium_nervosum, -108.86, 26.99
Tetramerium_nervosum, -100.98, 22.15
Tetramerium_nervosum, -99.38, 20.74
Tetramerium_nervosum, -100.15, 18.91
Tetramerium_nervosum, -88.71, 20.51
Tetramerium_nervosum, -101.04, 18.12
Tetramerium_nervosum, -89.02, 20.93
Tetramerium_nervosum, -103.1, 19.83
Tetramerium_nervosum, -100.91, 18.23
Tetramerium_nervosum, -103.73, 19.24
Tetramerium_nervosum, -99.417, 23.35
Tetramerium_nervosum, -99.283, 23.433
Tetramerium_nervosum, -99.15, 23.117
Tetramerium_nervosum, -98.9, 18.9866666667
Tetramerium_nervosum, -98.8333333333, 17.4083333333
Tetramerium_nervosum, -102.52, 20.33
Tetramerium_nervosum, -101.808333333, 17.95
Tetramerium_nervosum, -108.633333333, 28.4833333333
Tetramerium_nervosum, -110.7304, 31.4157
Tetramerium_nervosum, -99.0, 23.0
Tetramerium_nervosum, -93.1769723, 16.8121667
Tetramerium_nervosum, -95.9277778, 15.9019444
Tetramerium_nervosum, -99.61, 25.9
Tetramerium_nervosum, -103.34, 20.67
Tetramerium_nervosum, -96.76, 19.28
Tetramerium_nervosum, -98.666667, 23.2
Tetramerium_nervosum, -99.45, 17.3
Tetramerium_nervosum, -96.1926666, 15.7831389
Tetramerium_nervosum, -89.4333333, 21.0833333
Tetramerium_nervosum, -109.7, 23.261
Tetramerium_nervosum, -99.725, 20.375
Tetramerium_nervosum, -94.94, 16.66
Tetramerium_nervosum, -99.2083333333, 20.765
Tetramerium_nervosum, -98.1583333333, 20.8233333333
Tetramerium_nervosum, -103.955, 20.2
Tetramerium_nervosum, -103.755, 23.8483333333
Tetramerium_nervosum, -98.1888888889, 24.7447222222
Tetramerium_nervosum, -100.196666667, 17.9816666667
Tetramerium_nervosum, -96.161, 15.755
Tetramerium_nervosum, -105.483333333, 25.1166666667
Tetramerium_nervosum, -99.735, 20.5
Tetramerium_nervosum, -111.966666667, 26.2333333333
Tetramerium_nervosum, -98.9244444444, 21.2077777778
Tetramerium_nervosum, -100.713333333, 19.5866666667
Tetramerium_nervosum, -110.206, 30.338
Tetramerium_nervosum, -96.169, 15.72
Tetramerium_nervosum, -100.7, 18.33
Tetramerium_nervosum, -111.3062, 31.5441
Tetramerium_nervosum, -110.773, 31.3653
Tetramerium_nervosum, -111.6404, 31.8273
Tetramerium_nervosum, -111.54, 32.03
Tetramerium_nervosum, -111.5426, 31.4888
Tetramerium_nervosum, -100.16111, 18.14861
Tetramerium_nervosum, -111.241, 31.393
Tetramerium_nervosum, -111.61667, 31.78333
Tetramerium_nervosum, -110.714, 31.5273
Tetramerium_nervosum, -111.58611, 31.78972
Tetramerium_nervosum, -100.878, 20.21
Tetramerium_nervosum, -96.6667, 19.3333
Tetramerium_nervosum, -90.525, 19.842
Tetramerium_nervosum, -109.73, 28.569
Tetramerium_nervosum, -109.039, 29.324
Tetramerium_nervosum, -100.878, 20.21
Tetramerium_nervosum, -101.928, 18.918
Tetramerium_nervosum, -101.585, 20.098
Tetramerium_nervosum, -101.19, 19.7
Tetramerium_nervosum, -101.257, 19.755
Tetramerium_nervosum, -88.5402777778, 20.6294444444
Tetramerium_nervosum, -89.4683333333, 19.8422222222
Tetramerium_nervosum, -111.191667, 31.416667
Tetramerium_nervosum, -111.2785, 31.5046
Tetramerium_nervosum, -111.616667, 31.783333
Tetramerium_nervosum, -111.5426, 31.4888
