Predictor variable,Categorical,Sample average
layer0,false,12.289655172413793
layer1,false,45.41609195402299
layer10,false,208.5448275862069
layer11,false,28.664367816091954
layer12,false,243.12413793103448
layer13,false,-0.009520285024315341
layer14,false,-8.835636182230628E-4
layer15,false,0.002317850879492538
layer16,false,0.44735633460269575
layer2,false,7.227126509567787
layer3,false,804.2528735632184
layer4,false,88.37701149425287
layer5,false,298.8735632183908
layer6,false,25.919540229885058
layer7,false,967.9291140246837
layer8,false,2.856988484249718
layer9,false,248.37241379310345
mask,false,12.289655172413793
