Species, X, Y
Anisacanthus_thurberi, -111.343652031, 32.9051999071
Anisacanthus_thurberi, -111.343652031, 32.9051999071
Anisacanthus_thurberi, -110.9427777, 31.3158333
Anisacanthus_thurberi, -111.0043, 32.2347
Anisacanthus_thurberi, -110.84167, 31.75
Anisacanthus_thurberi, -110.225, 32.3611
Anisacanthus_thurberi, -110.7611, 31.9417
Anisacanthus_thurberi, -111.433, 33.5333
Anisacanthus_thurberi, -112.046, 34.2459
Anisacanthus_thurberi, -109.8715, 32.7017
Anisacanthus_thurberi, -111.433, 33.4732
Anisacanthus_thurberi, -110.5195, 32.132
Anisacanthus_thurberi, -110.2347, 31.3383
Anisacanthus_thurberi, -111.735, 33.8001
Anisacanthus_thurberi, -111.6909, 33.8647
Anisacanthus_thurberi, -110.188, 32.9277
Anisacanthus_thurberi, -110.69112, 32.48713
Anisacanthus_thurberi, -110.782, 31.7639
Anisacanthus_thurberi, -114.0022, 33.2528
Anisacanthus_thurberi, -113.1987, 34.3539
Anisacanthus_thurberi, -111.0982, 32.2301
Anisacanthus_thurberi, -111.06, 32.1842
Anisacanthus_thurberi, -110.60833, 32.15833
Anisacanthus_thurberi, -111.25, 33.51
Anisacanthus_thurberi, -113.0764, 32.1931
Anisacanthus_thurberi, -112.23339, 32.72608
Anisacanthus_thurberi, -111.1105, 31.3915
Anisacanthus_thurberi, -111.5, 31.98333
Anisacanthus_thurberi, -111.04794, 31.56947
Anisacanthus_thurberi, -112.1375, 32.12722
Anisacanthus_thurberi, -110.543, 32.9251
Anisacanthus_thurberi, -112.727, 34.1654
Anisacanthus_thurberi, -110.9265, 32.2217
Anisacanthus_thurberi, -110.6001, 32.1398
Anisacanthus_thurberi, -110.30833, 30.34167
Anisacanthus_thurberi, -109.7462, 32.7419
Anisacanthus_thurberi, -110.6001, 32.1398
Anisacanthus_thurberi, -111.2276, 33.7028
Anisacanthus_thurberi, -110.6083, 32.1505
Anisacanthus_thurberi, -110.9265, 32.2217
Anisacanthus_thurberi, -110.7288, 32.1699
Anisacanthus_thurberi, -110.841667, 31.75
Anisacanthus_thurberi, -110.841667, 31.75
Anisacanthus_thurberi, -110.2347, 31.3383
Anisacanthus_thurberi, -111.0982, 32.2301
Anisacanthus_thurberi, -109.437, 32.0181
Anisacanthus_thurberi, -111.324, 33.8681
Anisacanthus_thurberi, -112.707, 32.4008
Anisacanthus_thurberi, -111.7086, 33.9367
Anisacanthus_thurberi, -110.139, 32.0044
Anisacanthus_thurberi, -114.208, 33.2111
Anisacanthus_thurberi, -112.944, 34.6824
Anisacanthus_thurberi, -110.4007, 33.512
Anisacanthus_thurberi, -109.86291, 33.17861
Anisacanthus_thurberi, -110.5929, 31.8956
Anisacanthus_thurberi, -114.191, 33.2111
Anisacanthus_thurberi, -112.3567, 32.65167
